Task1, 1, 1, 1, 1
Task2, 2, 1, 2, 2
Task3, 3, 1, 4, 4
Task4, 4, 1, 8, 8
Task5, 5, 1, 16, 16
Task6, 6, 1, 32, 32
Task11, 11, 2, 1, 1
Task12, 12, 2, 2, 2
Task13, 13, 2, 4, 4
Task14, 14, 2, 8, 8
Task15, 15, 2, 16, 16
Task16, 16, 2, 32, 32
Task21, 21, 3, 1, 1
Task22, 22, 3, 2, 2
Task23, 23, 3, 4, 4
Task24, 24, 3, 8, 8
Task25, 25, 3, 16, 16
Task26, 26, 3, 32, 32
Task31, 31, 4, 1, 1
Task32, 32, 4, 2, 2
Task33, 33, 4, 4, 4
Task34, 34, 4, 8, 8
Task35, 35, 4, 16, 16
Task36, 36, 4, 32, 32
Task41, 41, 5, 1, 1
Task42, 42, 5, 2, 2
Task43, 43, 5, 4, 4
Task44, 44, 5, 8, 8
Task45, 45, 5, 16, 16
Task46, 46, 5, 32, 32
